Replicate	Group	Genotype	Treatment	Organ
Cot.Col0.WL	Cot.Col0.WL	Col-0	WL	Cotyledon
Cot.Col0.LB	Cot.Col0.LB	Col-0	LB	Cotyledon
Cot.Col0.LRFR	Cot.Col0.LRFR	Col-0	LRFR	Cotyledon
Cot.pif457.WL	Cot.pif457.WL	pif457	WL	Cotyledon
Cot.pif457.LB	Cot.pif457.LB	pif457	LB	Cotyledon
Cot.pif457.LRFR	Cot.pif457.LRFR	pif457	LRFR	Cotyledon
Cot.yuc2589.WL	Cot.yuc2589.WL	yuc2589	WL	Cotyledon
Cot.yuc2589.LB	Cot.yuc2589.LB	yuc2589	LB	Cotyledon
Cot.yuc2589.LRFR	Cot.yuc2589.LRFR	yuc2589	LRFR	Cotyledon
Cot.smt2.WL	Cot.smt2.WL	smt2	WL	Cotyledon
Cot.smt2.LB	Cot.smt2.LB	smt2	LB	Cotyledon
Cot.smt2.LRFR	Cot.smt2.LRFR	smt2	LRFR	Cotyledon
Hyp.Col0.WL	Hyp.Col0.WL	Col-0	WL	Hypocotyl
Hyp.Col0.LB	Hyp.Col0.LB	Col-0	LB	Hypocotyl
Hyp.Col0.LRFR	Hyp.Col0.LRFR	Col-0	LRFR	Hypocotyl
Hyp.pif457.WL	Hyp.pif457.WL	pif457	WL	Hypocotyl
Hyp.pif457.LB	Hyp.pif457.LB	pif457	LB	Hypocotyl
Hyp.pif457.LRFR	Hyp.pif457.LRFR	pif457	LRFR	Hypocotyl
Hyp.yuc2589.WL	Hyp.yuc2589.WL	yuc2589	WL	Hypocotyl
Hyp.yuc2589.LB	Hyp.yuc2589.LB	yuc2589	LB	Hypocotyl
Hyp.yuc2589.LRFR	Hyp.yuc2589.LRFR	yuc2589	LRFR	Hypocotyl
Hyp.smt2.WL	Hyp.smt2.WL	smt2	WL	Hypocotyl
Hyp.smt2.LB	Hyp.smt2.LB	smt2	LB	Hypocotyl
Hyp.smt2.LRFR	Hyp.smt2.LRFR	smt2	LRFR	Hypocotyl
