Replicate	Group	Genotype	Treatment	Organ
205	Col-0_H	Col-0	HRFR	Seedling
206	Col-0_H	Col-0	HRFR	Seedling
207	Col-0_H	Col-0	HRFR	Seedling
209	hfr1_H	hfr1-101	HRFR	Seedling
210	hfr1_H	hfr1-101	HRFR	Seedling
211	hfr1_H	hfr1-101	HRFR	Seedling
213	p457_H	pif457	HRFR	Seedling
214	p457_H	pif457	HRFR	Seedling
215	p457_H	pif457	HRFR	Seedling
217	Col-0_L1h	Col-0	LRFR_1h	Seedling
218	Col-0_L1h	Col-0	LRFR_1h	Seedling
219	Col-0_L1h	Col-0	LRFR_1h	Seedling
221	hfr1_L1h	hfr1-101	LRFR_1h	Seedling
222	hfr1_L1h	hfr1-101	LRFR_1h	Seedling
223	hfr1_L1h	hfr1-101	LRFR_1h	Seedling
225	p457_L1h	pif457	LRFR_1h	Seedling
226	p457_L1h	pif457	LRFR_1h	Seedling
227	p457_L1h	pif457	LRFR_1h	Seedling
229	Col-0_L25h	Col-0	LRFR_25h	Seedling
230	Col-0_L25h	Col-0	LRFR_25h	Seedling
231	Col-0_L25h	Col-0	LRFR_25h	Seedling
233	hfr1_L25h	hfr1-101	LRFR_25h	Seedling
234	hfr1_L25h	hfr1-101	LRFR_25h	Seedling
235	hfr1_L25h	hfr1-101	LRFR_25h	Seedling
237	p457_L25h	pif457	LRFR_25h	Seedling
238	p457_L25h	pif457	LRFR_25h	Seedling
239	p457_L25h	pif457	LRFR_25h	Seedling
