Gene	Col-0_H	Col-0_L1h	Col-0_L25h	hfr1_H	hfr1_L1h	hfr1_L25h	p457_H	p457_L1h	p457_L25h
AT1G01010	7.453333333	7.333333333	9.373333333	7.446666667	8.383333333	8.07	8.093333333	7.256666667	7.9
AT1G01020	10.09666667	10.4	10.70333333	10.26	11.1	10.09333333	11.91666667	11.89666667	12.09333333
AT1G01030	3.856666667	3.02	3.883333333	3.8	2.886666667	3.013333333	3.646666667	4.053333333	4.77
AT1G01040	11.36666667	12.14333333	11.60333333	11.54	11.78	11.64666667	12.91	12.16333333	12.22
AT1G01046	0.593333333	0.896666667	0.453333333	0.783333333	0.59	0.57	0.78	1.31	0.513333333
AT1G01050	67.69333333	73.62	86.46333333	70.62333333	69.68	89.13	78.11333333	75.26	88.54
AT1G01060	110.3466667	132.7233333	191.27	111.43	134.1366667	206.2333333	125.15	144.4466667	145.0866667
AT1G01070	6.233333333	6.533333333	5.303333333	6.273333333	7.023333333	4.363333333	6.08	6.19	4.646666667
AT1G01080	61.13666667	61.35	65.15666667	60.92333333	59.59666667	62.67333333	59.09	61.19	66.52333333
AT1G01090	176.1966667	179.8833333	187.1933333	175.1433333	173.8066667	191.46	186.5733333	183.57	193.9333333
AT1G01100	486.4666667	490.1933333	429.2033333	422.9633333	449.7666667	419.2633333	528.9766667	501.8733333	506.4166667
AT1G01110	1.683333333	4.14	1.786666667	1.38	3.45	1.92	2.59	2.326666667	2.846666667
AT1G01120	227.0433333	201.97	217.29	239.8066667	212.7133333	207.2433333	171.8266667	191.5533333	170.31
AT1G01130	4.68	4.183333333	3.643333333	4.29	4.263333333	4.096666667	4.713333333	4.45	3.413333333
AT1G01140	44.55	31.52333333	28.11	42.97333333	32.64	28.49	40.44666667	39.38	34.98666667
AT1G01150	0.05	0.083333333	0.093333333	0.063333333	0.166666667	0.06	0.1	0.016666667	0.07
AT1G01160	35.74333333	37.46	34.00666667	32.61666667	34.37	33.17666667	35.41333333	37.04333333	36.93666667
AT1G01170	73.97333333	75.47666667	81.49333333	81.53	68.63	82.68	80.89666667	82.64333333	83.51
AT1G01180	16.36333333	12.75666667	15.34	16.95666667	13.90666667	13.88666667	12.24333333	13.46	12.70333333
AT1G01183	0	0	0	0	0	0	0	0	0
AT1G01190	3.773333333	3.74	3.553333333	4.126666667	3.423333333	2.216666667	2.01	1.69	1.97
AT1G01200	2.443333333	3.003333333	3.12	2.203333333	2.896666667	3.566666667	2.2	2.346666667	2.976666667
AT1G01210	18.59333333	16.82333333	24.12333333	18.32	19.87333333	26.64	25.47333333	23.71333333	27.14
AT1G01220	10.01666667	10.10333333	10.39333333	10.02666667	9.513333333	10.72666667	10.75333333	10.36666667	12.04333333
AT1G01225	5.25	5.18	4.88	4.86	5.286666667	5.466666667	5.263333333	4.43	5.416666667
AT1G01230	30.00666667	28.31	29.54	30.07666667	30.66	27.22	26.73333333	26.37333333	27.00333333
AT1G01240	9.456666667	10.18	6.406666667	10.62666667	10.86	6.233333333	6.733333333	8.32	6.59
AT1G01250	3.29	3.156666667	3.663333333	3.183333333	2.936666667	4.626666667	2.473333333	2.893333333	2.87
AT1G01260	7.38	20.98666667	9.496666667	7.65	24.21333333	10.99	8.02	9.143333333	9.57
AT1G01270	0	0	0	0	0	0	0	0	0
AT1G01280	0	0	0	0	0	0	0	0	0
AT1G01290	8.67	9.086666667	9.726666667	8.456666667	8.633333333	9.203333333	9.7	9.77	10.12666667
AT1G01300	30.12	29.83666667	29.11333333	26.87	25.43333333	28.52	35.22333333	29.62	33.63
