Replicate	Group	Genotype	Treatment	Organ
c0_w	c0_w	Col-0_HRFR	0_min	Cotyledon
c15_w	c15_w	Col-0_HRFR	15_min	Cotyledon
c45_w	c45_w	Col-0_HRFR	45_min	Cotyledon
c90_w	c90_w	Col-0_HRFR	90_min	Cotyledon
c180_w	c180_w	Col-0_HRFR	180_min	Cotyledon
c15_fr	c15_fr	Col-0_LRFR	15_min	Cotyledon
c45_fr	c45_fr	Col-0_LRFR	45_min	Cotyledon
c90_fr	c90_fr	Col-0_LRFR	90_min	Cotyledon
c180_fr	c180_fr	Col-0_LRFR	180_min	Cotyledon
h0_w	h0_w	Col-0_HRFR	0_min	Hypocotyl
h15_w	h15_w	Col-0_HRFR	15_min	Hypocotyl
h45_w	h45_w	Col-0_HRFR	45_min	Hypocotyl
h90_w	h90_w	Col-0_HRFR	90_min	Hypocotyl
h180_w	h180_w	Col-0_HRFR	180_min	Hypocotyl
h15_fr	h15_fr	Col-0_LRFR	15_min	Hypocotyl
h45_fr	h45_fr	Col-0_LRFR	45_min	Hypocotyl
h90_fr	h90_fr	Col-0_LRFR	90_min	Hypocotyl
h180_fr	h180_fr	Col-0_LRFR	180_min	Hypocotyl
