Replicate	Group	Genotype	Treatment	Organ
aos.high.no_wound.1.1	aos_HRFR_1.5h_nw	aos	HRFR_1.5h	Seedling_(no_wound)
aos.high.no_wound.1.2	aos_HRFR_1.5h_nw	aos	HRFR_1.5h	Seedling_(no_wound)
aos.high.no_wound.1.3	aos_HRFR_1.5h_nw	aos	HRFR_1.5h	Seedling_(no_wound)
aos.high.no_wound.2.1	aos_HRFR_4h_nw	aos	HRFR_4h	Seedling_(no_wound)
aos.high.no_wound.2.2	aos_HRFR_4h_nw	aos	HRFR_4h	Seedling_(no_wound)
aos.high.no_wound.2.3	aos_HRFR_4h_nw	aos	HRFR_4h	Seedling_(no_wound)
aos.high.wound.1.1	aos_HRFR_1.5h_w	aos	HRFR_1.5h	Seedling_(wound)
aos.high.wound.1.2	aos_HRFR_1.5h_w	aos	HRFR_1.5h	Seedling_(wound)
aos.high.wound.1.3	aos_HRFR_1.5h_w	aos	HRFR_1.5h	Seedling_(wound)
aos.high.wound.2.1	aos_HRFR_4h_w	aos	HRFR_4h	Seedling_(wound)
aos.high.wound.2.2	aos_HRFR_4h_w	aos	HRFR_4h	Seedling_(wound)
aos.high.wound.2.3	aos_HRFR_4h_w	aos	HRFR_4h	Seedling_(wound)
aos.low.no_wound.1.1	aos_LRFR_1.5h_nw	aos	LRFR_1.5h	Seedling_(no_wound)
aos.low.no_wound.1.2	aos_LRFR_1.5h_nw	aos	LRFR_1.5h	Seedling_(no_wound)
aos.low.no_wound.1.3	aos_LRFR_1.5h_nw	aos	LRFR_1.5h	Seedling_(no_wound)
aos.low.no_wound.2.1	aos_LRFR_4h_nw	aos	LRFR_4h	Seedling_(no_wound)
aos.low.no_wound.2.2	aos_LRFR_4h_nw	aos	LRFR_4h	Seedling_(no_wound)
aos.low.no_wound.2.3	aos_LRFR_4h_nw	aos	LRFR_4h	Seedling_(no_wound)
aos.low.wound.1.1	aos_LRFR_1.5h_w	aos	LRFR_1.5h	Seedling_(wound)
aos.low.wound.1.2	aos_LRFR_1.5h_w	aos	LRFR_1.5h	Seedling_(wound)
aos.low.wound.1.3	aos_LRFR_1.5h_w	aos	LRFR_1.5h	Seedling_(wound)
aos.low.wound.2.1	aos_LRFR_4h_w	aos	LRFR_4h	Seedling_(wound)
aos.low.wound.2.2	aos_LRFR_4h_w	aos	LRFR_4h	Seedling_(wound)
aos.low.wound.2.3	aos_LRFR_4h_w	aos	LRFR_4h	Seedling_(wound)
Col.high.no_wound.1.1	Col-0_HRFR_1.5h_nw	Col-0	HRFR_1.5h	Seedling_(no_wound)
Col.high.no_wound.1.2	Col-0_HRFR_1.5h_nw	Col-0	HRFR_1.5h	Seedling_(no_wound)
Col.high.no_wound.1.3	Col-0_HRFR_1.5h_nw	Col-0	HRFR_1.5h	Seedling_(no_wound)
Col.high.no_wound.2.1	Col-0_HRFR_4h_nw	Col-0	HRFR_4h	Seedling_(no_wound)
Col.high.no_wound.2.2	Col-0_HRFR_4h_nw	Col-0	HRFR_4h	Seedling_(no_wound)
Col.high.no_wound.2.3	Col-0_HRFR_4h_nw	Col-0	HRFR_4h	Seedling_(no_wound)
Col.high.wound.1.1	Col-0_HRFR_1.5h_w	Col-0	HRFR_1.5h	Seedling_(wound)
Col.high.wound.1.2	Col-0_HRFR_1.5h_w	Col-0	HRFR_1.5h	Seedling_(wound)
Col.high.wound.1.3	Col-0_HRFR_1.5h_w	Col-0	HRFR_1.5h	Seedling_(wound)
Col.high.wound.2.1	Col-0_HRFR_4h_w	Col-0	HRFR_4h	Seedling_(wound)
Col.high.wound.2.2	Col-0_HRFR_4h_w	Col-0	HRFR_4h	Seedling_(wound)
Col.high.wound.2.3	Col-0_HRFR_4h_w	Col-0	HRFR_4h	Seedling_(wound)
Col.low.no_wound.1.1	Col-0_LRFR_1.5h_nw	Col-0	LRFR_1.5h	Seedling_(no_wound)
Col.low.no_wound.1.2	Col-0_LRFR_1.5h_nw	Col-0	LRFR_1.5h	Seedling_(no_wound)
Col.low.no_wound.1.3	Col-0_LRFR_1.5h_nw	Col-0	LRFR_1.5h	Seedling_(no_wound)
Col.low.no_wound.2.1	Col-0_LRFR_4h_nw	Col-0	LRFR_4h	Seedling_(no_wound)
Col.low.no_wound.2.2	Col-0_LRFR_4h_nw	Col-0	LRFR_4h	Seedling_(no_wound)
Col.low.no_wound.2.3	Col-0_LRFR_4h_nw	Col-0	LRFR_4h	Seedling_(no_wound)
Col.low.wound.1.1	Col-0_LRFR_1.5h_w	Col-0	LRFR_1.5h	Seedling_(wound)
Col.low.wound.1.2	Col-0_LRFR_1.5h_w	Col-0	LRFR_1.5h	Seedling_(wound)
Col.low.wound.1.3	Col-0_LRFR_1.5h_w	Col-0	LRFR_1.5h	Seedling_(wound)
Col.low.wound.2.1	Col-0_LRFR_4h_w	Col-0	LRFR_4h	Seedling_(wound)
Col.low.wound.2.2	Col-0_LRFR_4h_w	Col-0	LRFR_4h	Seedling_(wound)
Col.low.wound.2.3	Col-0_LRFR_4h_w	Col-0	LRFR_4h	Seedling_(wound)
