Gene	aos_HRFR_1.5h_nw	aos_HRFR_1.5h_w	aos_LRFR_1.5h_nw	aos_LRFR_1.5h_w	aos_HRFR_4h_nw	aos_HRFR_4h_w	aos_LRFR_4h_nw	aos_LRFR_4h_w	Col-0_HRFR_1.5h_nw	Col-0_HRFR_1.5h_w	Col-0_LRFR_1.5h_nw	Col-0_LRFR_1.5h_w	Col-0_HRFR_4h_nw	Col-0_HRFR_4h_w	Col-0_LRFR_4h_nw	Col-0_LRFR_4h_w
AT1G01010	0.641436713	0.999590656	0.719432762	0.850713546	1.182475097	0.940305809	0.850999814	0.788581999	0.228243126	1.449974438	0.30270321	0.706121973	0.484725375	0.253002226	0.693133519	0.514002458
AT1G01020	3.717332135	3.833430156	3.770398441	3.78212244	3.755452698	3.558322281	3.681732854	3.828367889	3.805412612	4.154194033	3.701418205	4.040114999	3.641787415	3.742790666	3.927390612	3.836144687
AT1G01040	6.124001531	6.194139005	5.917885659	6.137386613	5.942462743	6.006231755	5.959069712	5.945082711	6.158892875	6.431830728	6.15192663	6.225255019	6.042070209	6.132945275	5.943738265	5.914909875
AT1G01050	5.920562695	5.724766639	6.024767172	5.824517371	5.794515738	5.627530136	5.662667136	5.626492046	5.822084963	5.631428866	5.838485505	5.738274269	5.680899955	5.640245979	5.686948817	5.543847048
AT1G01060	5.572892061	5.337898851	5.353919606	5.295292047	1.720904838	1.490047055	1.658156673	1.271570365	5.92910264	5.324258339	5.820014451	5.325512939	1.706946965	1.472791378	1.804151945	1.249173711
AT1G01070	1.905003715	1.736596199	1.585584541	1.176113843	0.959895296	0.333280573	-1.323657939	-1.35375335	0.622067283	-0.534591339	0.195116102	-0.474374242	-0.70494198	-0.440015391	-3.787794968	-3.276061184
AT1G01080	6.728951087	6.534441947	6.827254271	6.643151407	6.873847535	6.681912542	6.588499762	6.379816732	6.794311722	6.624828679	6.679512598	6.693036515	6.819141679	6.562232467	6.565299399	6.426880692
AT1G01090	7.902795148	7.763268188	7.970820936	7.832884459	7.863892081	7.774099845	8.228203039	8.125008011	7.869732936	7.768980303	7.883212198	7.791415288	7.906914722	7.587877881	8.247501105	7.902906772
AT1G01100	7.193191203	7.093291293	7.352881681	7.177180889	7.093028315	6.942448793	7.396648061	7.357073104	7.394937132	7.304208916	7.380787169	7.263225987	7.199680618	6.967520353	7.675087084	7.463641141
AT1G01110	3.38387755	3.086840929	4.499605093	4.189993548	3.289424138	3.395569715	4.669758708	4.671341061	3.542467037	2.953830756	4.381490832	4.0961358	3.400765464	3.006028759	4.616871444	4.420892566
AT1G01120	7.292135436	7.379754744	7.777125343	7.933116395	6.57357235	6.860288099	7.389082878	7.451201939	7.354082431	6.74992308	7.749590981	7.522945797	6.766639811	5.888211872	7.265413819	6.648073971
AT1G01130	0.866200886	1.084243666	1.254156491	1.463929162	0.425435486	0.480851129	0.619057316	0.772023225	1.277182574	0.260712393	1.668840684	0.810345474	0.669230225	-0.872206231	0.754385927	0.368896672
AT1G01140	4.950738375	5.155926459	3.736447326	3.905261025	5.172350799	5.276558933	3.62348345	3.724056861	4.964264016	5.529853223	3.591992711	4.115578898	5.083025903	5.605805738	3.644292723	3.987109779
AT1G01160	4.423435876	4.522377237	4.463455124	4.383720154	4.378451103	4.427939962	4.380612367	4.398279155	4.477559897	4.685263347	4.366822829	4.439458083	4.401691517	4.59660158	4.382021948	4.555697353
AT1G01170	5.249388695	5.170052345	5.28425536	5.15722342	5.301911352	5.298505036	4.429088882	4.466613877	5.308984045	5.515036911	5.138256451	5.232791509	5.271996363	5.680845975	4.486363234	5.008718356
AT1G01180	2.413730874	2.571370628	1.397419625	1.623624355	2.555438676	2.591201602	-0.584982954	-0.350102279	2.00623599	1.995346499	0.881384621	0.597736601	2.250469671	2.365577036	-0.667540738	-0.326242107
AT1G01190	3.655383549	4.309092032	3.435151648	4.103767413	3.577602964	4.313389115	3.03526558	3.509533409	3.296390593	2.662507857	3.151673195	3.013584037	3.521301141	3.007566126	3.025791572	1.731893825
AT1G01200	2.306216212	2.324620945	3.085981723	2.848039738	2.039417502	1.933994714	2.728056893	2.625232012	2.357998572	3.127391618	3.123646619	3.325066753	2.10574435	2.916317069	2.735751278	2.497759259
